"","Função","Programa","Grupo.de.Despesa","Modalidade.de.Aplicação","Resultado.Primário","Projeto.de.Lei","Dotação.Inicial","Dotação.Atual","Empenhado","Liquidado","Pago"
"721","19","2106","3","91","2",0,0,179.797,179.797,167.87,167.87
"722","19","2106","4","90","2",2500000,2500000,2500000,1464448,995.788,995.788
"723","19","2106","3","90","1",46.8,46.8,46.8,42.091,42.091,42.091
"724","19","2106","3","90","1",6.632,6.632,6.632,6.632,0,0
"725","19","2106","3","90","1",8.4,8.4,8.4,3.857,3.857,3.857
"726","19","2106","3","90","1",22.8,22.8,22.8,18.618,18.618,18.618
"727","19","2106","3","90","1",168,168,239,227.998,227.998,227.998
"728","19","2056","4","90","2",90699455,90699455,90696228,56189372,893.722,893.722
"729","19","2056","4","91","2",0,0,3.227,3.227,3.227,3.227
"730","19","2056","3","90","2",2194255,2194255,2205255,1642779,884.829,884.829
"731","19","2056","3","91","2",81,81,70,70,3.46,3.46
"732","19","2056","4","90","2",1532077,1532077,1532077,1530523,618.016,612.697
"733","19","2056","3","90","2",15937360,15937360,15937360,15876640,8360688,7472101
"734","19","2056","4","90","2",2832500,2832500,2832500,2691233,333.63,333.63
"735","19","2056","3","90","2",1310000,1310000,1285000,866.475,659.938,659.938
"736","19","2056","3","91","2",0,0,25,25,0,0
"737","19","2056","4","90","2",690,690,690,711.986,217.861,217.861
"738","19","2056","3","90","2",965,965,964.94,896.213,632.86,632.86
"739","19","2056","3","91","2",0,0,60,60,60,60
"740","19","2056","4","90","2",835,835,835,834.258,416.521,416.521
"741","19","2056","3","90","2",3768000,3768000,3768000,3539324,2659476,2659476
"742","19","2056","4","90","2",3015000,3015000,3015000,3003037,332.407,332.407
"743","19","2056","3","50","2",0,0,154.712,154.712,0,0
"744","19","2056","3","90","2",2695000,2695000,2540288,2538306,610.991,610.991
"745","19","2056","3","50","2",0,0,13039626,13039626,12491446,12491446
"746","19","2056","3","90","2",13594957,13594957,555.331,571.965,92.957,92.957
"747","19","2056","4","50","2",0,0,4.422,4.422,0,0
"748","19","2056","4","90","2",1963121,1963121,1958699,2252100,167.158,167.158
"749","19","2056","3","50","2",0,0,1500000,1500000,0,0
"750","19","2056","3","90","2",1500000,1500000,0,0,0,0
"751","19","2056","4","50","2",0,0,8500000,8500000,0,0
"752","19","2056","4","90","2",8500000,8500000,0,0,0,0
"753","19","2056","3","90","2",815,815,815,548.622,542.997,542.997
"754","19","2056","4","90","2",1730000,1730000,1730000,1724500,548.389,548.389
"755","19","2056","3","50","2",0,0,2760795,2760795,2760795,2760795
"756","19","2056","3","90","2",4383000,4383000,1622205,32.6,32.6,32.6
"757","19","2056","4","50","2",0,0,239.204,239.205,239.205,239.205
"758","19","2056","4","90","2",1461000,1461000,1,0,0,0
